Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain
StyleGAN2_split,precision,0.9989927477840451,0.9604247104247104,0.9923333333333333,0.9797087291043778,0.9925647415574893,StyleGAN2_split
StyleGAN2_split,recall,0.9918,0.995,0.9923333333333333,0.9934000000000001,0.9923333333333333,StyleGAN2_split
StyleGAN2_split,f1-score,0.995383380168607,0.9774066797642437,0.9923333333333333,0.9863950299664253,0.9923872634345463,StyleGAN2_split
StyleGAN2_split,support,5000.0,1000.0,0.9923333333333333,6000.0,6000.0,StyleGAN2_split
StableDiffusion_split,precision,0.8812866536342634,0.8900804289544236,0.8818333333333334,0.8856835412943436,0.8827522828542901,StableDiffusion_split
StableDiffusion_split,recall,0.9918,0.332,0.8818333333333334,0.6619,0.8818333333333334,StableDiffusion_split
StableDiffusion_split,f1-score,0.9332831467017974,0.48361252731245447,0.8818333333333334,0.7084478370071259,0.8583380434702402,StableDiffusion_split
StableDiffusion_split,support,5000.0,1000.0,0.8818333333333334,6000.0,6000.0,StableDiffusion_split
Midjourney_split,precision,0.8852195644412709,0.8969849246231156,0.886,0.8911022445321932,0.8871804578049117,Midjourney_split
Midjourney_split,recall,0.9918,0.357,0.886,0.6744,0.886,Midjourney_split
Midjourney_split,f1-score,0.9354838709677419,0.5107296137339056,0.886,0.7231067423508237,0.8646914947621024,Midjourney_split
Midjourney_split,support,5000.0,1000.0,0.886,6000.0,6000.0,Midjourney_split
firefly_split,precision,0.9125874125874126,0.9275618374558304,0.914,0.9200746250216215,0.9150831500654824,firefly_split
firefly_split,recall,0.9918,0.525,0.914,0.7584,0.914,firefly_split
firefly_split,f1-score,0.9505462909718229,0.6704980842911877,0.914,0.8105221876315053,0.9038715898583836,firefly_split
firefly_split,support,5000.0,1000.0,0.914,6000.0,6000.0,firefly_split
Dall-E_split,precision,0.847837237134553,0.7284768211920529,0.8448333333333333,0.7881570291633029,0.8279438344774696,Dall-E_split
Dall-E_split,recall,0.9918,0.11,0.8448333333333333,0.5509000000000001,0.8448333333333333,Dall-E_split
Dall-E_split,f1-score,0.9141856392294221,0.19113814074717636,0.8448333333333333,0.5526618899882992,0.7936777228157145,Dall-E_split
Dall-E_split,support,5000.0,1000.0,0.8448333333333333,6000.0,6000.0,Dall-E_split
