Domain,Metric,Real,Fake,accuracy,macro avg,weighted avg,domain,f1_macro,f1_micro,f1_weighted,tpr,tnr,fpr,fnr
StyleGAN2_split,precision,0.5154639175257731,1.0,0.53,0.7577319587628866,0.7577319587628866,StyleGAN2_split,,,,,,,
StyleGAN2_split,recall,1.0,0.06,0.53,0.53,0.53,StyleGAN2_split,,,,,,,
StyleGAN2_split,f1-score,0.6802721088435374,0.11320754716981132,0.53,0.39673982800667434,0.3967398280066743,StyleGAN2_split,,,,,,,
StyleGAN2_split,support,150.0,150.0,0.53,300.0,300.0,StyleGAN2_split,,,,,,,
StableDiffusion_split,precision,0.5050505050505051,1.0,0.51,0.7525252525252526,0.7525252525252525,StableDiffusion_split,,,,,,,
StableDiffusion_split,recall,1.0,0.02,0.51,0.51,0.51,StableDiffusion_split,,,,,,,
StableDiffusion_split,f1-score,0.6711409395973155,0.0392156862745098,0.51,0.3551783129359126,0.3551783129359126,StableDiffusion_split,,,,,,,
StableDiffusion_split,support,150.0,150.0,0.51,300.0,300.0,StableDiffusion_split,,,,,,,
Midjourney_split,precision,0.9933774834437086,1.0,0.9966666666666667,0.9966887417218543,0.9966887417218542,Midjourney_split,,,,,,,
Midjourney_split,recall,1.0,0.9933333333333333,0.9966666666666667,0.9966666666666666,0.9966666666666667,Midjourney_split,,,,,,,
Midjourney_split,f1-score,0.9966777408637874,0.9966555183946488,0.9966666666666667,0.9966666296292181,0.996666629629218,Midjourney_split,,,,,,,
Midjourney_split,support,150.0,150.0,0.9966666666666667,300.0,300.0,Midjourney_split,,,,,,,
firefly_split,precision,0.5415162454873647,1.0,0.5766666666666667,0.7707581227436824,0.7707581227436824,firefly_split,,,,,,,
firefly_split,recall,1.0,0.15333333333333332,0.5766666666666667,0.5766666666666667,0.5766666666666667,firefly_split,,,,,,,
firefly_split,f1-score,0.702576112412178,0.2658959537572254,0.5766666666666667,0.4842360330847017,0.4842360330847017,firefly_split,,,,,,,
firefly_split,support,150.0,150.0,0.5766666666666667,300.0,300.0,firefly_split,,,,,,,
Dall-E_split,precision,0.5681818181818182,1.0,0.62,0.7840909090909092,0.7840909090909092,Dall-E_split,,,,,,,
Dall-E_split,recall,1.0,0.24,0.62,0.62,0.62,Dall-E_split,,,,,,,
Dall-E_split,f1-score,0.7246376811594203,0.3870967741935484,0.62,0.5558672276764843,0.5558672276764844,Dall-E_split,,,,,,,
Dall-E_split,support,150.0,150.0,0.62,300.0,300.0,Dall-E_split,,,,,,,
ALL,ALL_combined,,,0.6466666666666666,,,ALL,0.5962622517901579,0.6466666666666666,0.5962622517901579,0.29333333333333333,1.0,0.0,0.7066666666666667
